priority,pack_id,year,make,model,trim,powertrain,oem_family,schedule_kind,segment,tier,manual_share_policy,msrp_note,status,ymm
"425","audi-a5-2019-premium-plus","2019","Audi","A5","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_with_a4_schedule","","target","2019 Audi A5"
"426","audi-a5-2019-prestige","2019","Audi","A5","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_with_a4_schedule","","target","2019 Audi A5"
"427","audi-a5-2018-premium","2018","Audi","A5","Premium","","audi","fixed_interval","luxury_sedan","luxury","shared_with_a4_schedule","","target","2018 Audi A5"
"428","audi-a5-2018-premium-plus","2018","Audi","A5","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_with_a4_schedule","","target","2018 Audi A5"
"429","audi-a5-2018-prestige","2018","Audi","A5","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_with_a4_schedule","","target","2018 Audi A5"
"430","audi-a6-2025-premium","2025","Audi","A6","Premium","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2025 Audi A6"
"431","audi-a6-2025-premium-plus","2025","Audi","A6","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2025 Audi A6"
"432","audi-a6-2025-prestige","2025","Audi","A6","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2025 Audi A6"
"433","audi-a6-2024-premium","2024","Audi","A6","Premium","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2024 Audi A6"
"434","audi-a6-2024-premium-plus","2024","Audi","A6","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2024 Audi A6"
"435","audi-a6-2024-prestige","2024","Audi","A6","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2024 Audi A6"
"436","audi-a6-2023-premium","2023","Audi","A6","Premium","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2023 Audi A6"
"437","audi-a6-2023-premium-plus","2023","Audi","A6","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2023 Audi A6"
"438","audi-a6-2023-prestige","2023","Audi","A6","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2023 Audi A6"
"439","audi-a6-2022-premium","2022","Audi","A6","Premium","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2022 Audi A6"
"440","audi-a6-2022-premium-plus","2022","Audi","A6","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2022 Audi A6"
"441","audi-a6-2022-prestige","2022","Audi","A6","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2022 Audi A6"
"442","audi-a6-2021-premium","2021","Audi","A6","Premium","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2021 Audi A6"
"443","audi-a6-2021-premium-plus","2021","Audi","A6","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2021 Audi A6"
"444","audi-a6-2021-prestige","2021","Audi","A6","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2021 Audi A6"
"445","audi-a6-2020-premium","2020","Audi","A6","Premium","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2020 Audi A6"
"446","audi-a6-2020-premium-plus","2020","Audi","A6","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2020 Audi A6"
"447","audi-a6-2020-prestige","2020","Audi","A6","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2020 Audi A6"
"448","audi-a6-2019-premium","2019","Audi","A6","Premium","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2019 Audi A6"
"449","audi-a6-2019-premium-plus","2019","Audi","A6","Premium Plus","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2019 Audi A6"
"450","audi-a6-2019-prestige","2019","Audi","A6","Prestige","","audi","fixed_interval","luxury_sedan","luxury","shared_c8_generation","Base Premium under $80k","target","2019 Audi A6"
"451","audi-q3-2025-premium","2025","Audi","Q3","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2025 Audi Q3"
"452","audi-q3-2025-premium-plus","2025","Audi","Q3","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2025 Audi Q3"
"453","audi-q3-2025-prestige","2025","Audi","Q3","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2025 Audi Q3"
"454","audi-q3-2024-premium","2024","Audi","Q3","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2024 Audi Q3"
"455","audi-q3-2024-premium-plus","2024","Audi","Q3","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2024 Audi Q3"
"456","audi-q3-2024-prestige","2024","Audi","Q3","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2024 Audi Q3"
"457","audi-q3-2023-premium","2023","Audi","Q3","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2023 Audi Q3"
"458","audi-q3-2023-premium-plus","2023","Audi","Q3","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2023 Audi Q3"
"459","audi-q3-2023-prestige","2023","Audi","Q3","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2023 Audi Q3"
"460","audi-q3-2022-premium","2022","Audi","Q3","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2022 Audi Q3"
"461","audi-q3-2022-premium-plus","2022","Audi","Q3","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2022 Audi Q3"
"462","audi-q3-2022-prestige","2022","Audi","Q3","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2022 Audi Q3"
"463","audi-q3-2021-premium","2021","Audi","Q3","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2021 Audi Q3"
"464","audi-q3-2021-premium-plus","2021","Audi","Q3","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2021 Audi Q3"
"465","audi-q3-2021-prestige","2021","Audi","Q3","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2021 Audi Q3"
"466","audi-q3-2020-premium","2020","Audi","Q3","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2020 Audi Q3"
"467","audi-q3-2020-premium-plus","2020","Audi","Q3","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2020 Audi Q3"
"468","audi-q3-2020-prestige","2020","Audi","Q3","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2020 Audi Q3"
"469","audi-q3-2019-premium","2019","Audi","Q3","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2019 Audi Q3"
"470","audi-q3-2019-premium-plus","2019","Audi","Q3","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2019 Audi Q3"
"471","audi-q3-2019-prestige","2019","Audi","Q3","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_within_generation","","target","2019 Audi Q3"
"472","audi-q5-2025-premium","2025","Audi","Q5","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2025 Audi Q5"
"473","audi-q5-2025-premium-plus","2025","Audi","Q5","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2025 Audi Q5"
"474","audi-q5-2025-prestige","2025","Audi","Q5","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2025 Audi Q5"
"475","audi-q5-2024-premium","2024","Audi","Q5","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2024 Audi Q5"
"476","audi-q5-2024-premium-plus","2024","Audi","Q5","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2024 Audi Q5"
"477","audi-q5-2024-prestige","2024","Audi","Q5","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2024 Audi Q5"
"478","audi-q5-2023-premium","2023","Audi","Q5","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2023 Audi Q5"
"479","audi-q5-2023-premium-plus","2023","Audi","Q5","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2023 Audi Q5"
"480","audi-q5-2023-prestige","2023","Audi","Q5","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2023 Audi Q5"
"481","audi-q5-2022-premium","2022","Audi","Q5","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2022 Audi Q5"
"482","audi-q5-2022-premium-plus","2022","Audi","Q5","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2022 Audi Q5"
"483","audi-q5-2022-prestige","2022","Audi","Q5","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2022 Audi Q5"
"484","audi-q5-2021-premium","2021","Audi","Q5","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2021 Audi Q5"
"485","audi-q5-2021-premium-plus","2021","Audi","Q5","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2021 Audi Q5"
"486","audi-q5-2021-prestige","2021","Audi","Q5","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2021 Audi Q5"
"487","audi-q5-2020-premium","2020","Audi","Q5","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2020 Audi Q5"
"488","audi-q5-2020-premium-plus","2020","Audi","Q5","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2020 Audi Q5"
"489","audi-q5-2020-prestige","2020","Audi","Q5","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2020 Audi Q5"
"490","audi-q5-2019-premium","2019","Audi","Q5","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2019 Audi Q5"
"491","audi-q5-2019-premium-plus","2019","Audi","Q5","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2019 Audi Q5"
"492","audi-q5-2019-prestige","2019","Audi","Q5","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2019 Audi Q5"
"493","audi-q5-2018-premium","2018","Audi","Q5","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2018 Audi Q5"
"494","audi-q5-2018-premium-plus","2018","Audi","Q5","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2018 Audi Q5"
"495","audi-q5-2018-prestige","2018","Audi","Q5","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_fy_generation","","target","2018 Audi Q5"
"496","audi-q7-2025-premium","2025","Audi","Q7","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2025 Audi Q7"
"497","audi-q7-2025-premium-plus","2025","Audi","Q7","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2025 Audi Q7"
"498","audi-q7-2025-prestige","2025","Audi","Q7","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2025 Audi Q7"
"499","audi-q7-2024-premium","2024","Audi","Q7","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2024 Audi Q7"
"500","audi-q7-2024-premium-plus","2024","Audi","Q7","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2024 Audi Q7"
"501","audi-q7-2024-prestige","2024","Audi","Q7","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2024 Audi Q7"
"502","audi-q7-2023-premium","2023","Audi","Q7","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2023 Audi Q7"
"503","audi-q7-2023-premium-plus","2023","Audi","Q7","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2023 Audi Q7"
"504","audi-q7-2023-prestige","2023","Audi","Q7","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2023 Audi Q7"
"505","audi-q7-2022-premium","2022","Audi","Q7","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2022 Audi Q7"
"506","audi-q7-2022-premium-plus","2022","Audi","Q7","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2022 Audi Q7"
"507","audi-q7-2022-prestige","2022","Audi","Q7","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2022 Audi Q7"
"508","audi-q7-2021-premium","2021","Audi","Q7","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2021 Audi Q7"
"509","audi-q7-2021-premium-plus","2021","Audi","Q7","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2021 Audi Q7"
"510","audi-q7-2021-prestige","2021","Audi","Q7","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2021 Audi Q7"
"511","audi-q7-2020-premium","2020","Audi","Q7","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2020 Audi Q7"
"512","audi-q7-2020-premium-plus","2020","Audi","Q7","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2020 Audi Q7"
"513","audi-q7-2020-prestige","2020","Audi","Q7","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2020 Audi Q7"
"514","audi-q7-2019-premium","2019","Audi","Q7","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2019 Audi Q7"
"515","audi-q7-2019-premium-plus","2019","Audi","Q7","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2019 Audi Q7"
"516","audi-q7-2019-prestige","2019","Audi","Q7","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2019 Audi Q7"
"517","audi-q7-2018-premium","2018","Audi","Q7","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2018 Audi Q7"
"518","audi-q7-2018-premium-plus","2018","Audi","Q7","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2018 Audi Q7"
"519","audi-q7-2018-prestige","2018","Audi","Q7","Prestige","","audi","fixed_interval","luxury_suv","luxury","shared_4m_generation","","target","2018 Audi Q7"
"520","audi-q8-2025-premium","2025","Audi","Q8","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2025 Audi Q8"
"521","audi-q8-2025-premium-plus","2025","Audi","Q8","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2025 Audi Q8"
"522","audi-q8-2024-premium","2024","Audi","Q8","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2024 Audi Q8"
"523","audi-q8-2024-premium-plus","2024","Audi","Q8","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2024 Audi Q8"
"524","audi-q8-2023-premium","2023","Audi","Q8","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2023 Audi Q8"
"525","audi-q8-2023-premium-plus","2023","Audi","Q8","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2023 Audi Q8"
"526","audi-q8-2022-premium","2022","Audi","Q8","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2022 Audi Q8"
"527","audi-q8-2022-premium-plus","2022","Audi","Q8","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2022 Audi Q8"
"528","audi-q8-2021-premium","2021","Audi","Q8","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2021 Audi Q8"
"529","audi-q8-2021-premium-plus","2021","Audi","Q8","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2021 Audi Q8"
"530","audi-q8-2020-premium","2020","Audi","Q8","Premium","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2020 Audi Q8"
"531","audi-q8-2020-premium-plus","2020","Audi","Q8","Premium Plus","","audi","fixed_interval","luxury_suv","luxury","shared_with_q7_schedule","Base Premium under $80k","target","2020 Audi Q8"
"532","audi-e-tron-2023-premium-plus","2023","Audi","e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2023 Audi e-tron"
"533","audi-e-tron-2023-prestige","2023","Audi","e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2023 Audi e-tron"
"534","audi-e-tron-2022-premium-plus","2022","Audi","e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2022 Audi e-tron"
"535","audi-e-tron-2022-prestige","2022","Audi","e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2022 Audi e-tron"
"536","audi-e-tron-2021-premium-plus","2021","Audi","e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2021 Audi e-tron"
"537","audi-e-tron-2021-prestige","2021","Audi","e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2021 Audi e-tron"
"538","audi-e-tron-2020-premium-plus","2020","Audi","e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2020 Audi e-tron"
"539","audi-e-tron-2020-prestige","2020","Audi","e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2020 Audi e-tron"
"540","audi-e-tron-2019-premium-plus","2019","Audi","e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2019 Audi e-tron"
"541","audi-e-tron-2019-prestige","2019","Audi","e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_generation","","target","2019 Audi e-tron"
"542","audi-q4-e-tron-2025-premium-plus","2025","Audi","Q4 e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_model_year","","target","2025 Audi Q4 e-tron"
"543","audi-q4-e-tron-2025-prestige","2025","Audi","Q4 e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_model_year","","target","2025 Audi Q4 e-tron"
"544","audi-q4-e-tron-2024-premium-plus","2024","Audi","Q4 e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_model_year","","target","2024 Audi Q4 e-tron"
"545","audi-q4-e-tron-2024-prestige","2024","Audi","Q4 e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_model_year","","target","2024 Audi Q4 e-tron"
"546","audi-q4-e-tron-2023-premium-plus","2023","Audi","Q4 e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_model_year","","target","2023 Audi Q4 e-tron"
"547","audi-q4-e-tron-2023-prestige","2023","Audi","Q4 e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_model_year","","target","2023 Audi Q4 e-tron"
"548","audi-q4-e-tron-2022-premium-plus","2022","Audi","Q4 e-tron","Premium Plus","","audi","ev_simplified","luxury_ev","luxury","shared_within_model_year","","target","2022 Audi Q4 e-tron"
"549","audi-q4-e-tron-2022-prestige","2022","Audi","Q4 e-tron","Prestige","","audi","ev_simplified","luxury_ev","luxury","shared_within_model_year","","target","2022 Audi Q4 e-tron"
"550","lexus-is-2025-300","2025","Lexus","IS","300","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2025 Lexus IS"
"551","lexus-is-2025-350","2025","Lexus","IS","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2025 Lexus IS"
"552","lexus-is-2025-500-f-sport","2025","Lexus","IS","500 F Sport","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2025 Lexus IS"
"553","lexus-is-2024-300","2024","Lexus","IS","300","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2024 Lexus IS"
"554","lexus-is-2024-350","2024","Lexus","IS","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2024 Lexus IS"
"555","lexus-is-2024-500-f-sport","2024","Lexus","IS","500 F Sport","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2024 Lexus IS"
"556","lexus-is-2023-300","2023","Lexus","IS","300","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2023 Lexus IS"
"557","lexus-is-2023-350","2023","Lexus","IS","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2023 Lexus IS"
"558","lexus-is-2023-500-f-sport","2023","Lexus","IS","500 F Sport","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2023 Lexus IS"
"559","lexus-is-2022-300","2022","Lexus","IS","300","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2022 Lexus IS"
"560","lexus-is-2022-350","2022","Lexus","IS","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2022 Lexus IS"
"561","lexus-is-2022-500-f-sport","2022","Lexus","IS","500 F Sport","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2022 Lexus IS"
"562","lexus-is-2021-300","2021","Lexus","IS","300","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2021 Lexus IS"
"563","lexus-is-2021-350","2021","Lexus","IS","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2021 Lexus IS"
"564","lexus-is-2021-500-f-sport","2021","Lexus","IS","500 F Sport","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2021 Lexus IS"
"565","lexus-is-2020-300","2020","Lexus","IS","300","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2020 Lexus IS"
"566","lexus-is-2020-350","2020","Lexus","IS","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2020 Lexus IS"
"567","lexus-is-2020-500-f-sport","2020","Lexus","IS","500 F Sport","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2020 Lexus IS"
"568","lexus-is-2019-300","2019","Lexus","IS","300","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2019 Lexus IS"
"569","lexus-is-2019-350","2019","Lexus","IS","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2019 Lexus IS"
"570","lexus-is-2019-500-f-sport","2019","Lexus","IS","500 F Sport","","lexus","fixed_interval","luxury_sedan","luxury","shared_within_generation","","target","2019 Lexus IS"
"571","lexus-es-2025-250","2025","Lexus","ES","250","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2025 Lexus ES"
"572","lexus-es-2025-350","2025","Lexus","ES","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2025 Lexus ES"
"573","lexus-es-2025-300h","2025","Lexus","ES","300h","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2025 Lexus ES"
"574","lexus-es-2025-300h-hybrid","2025","Lexus","ES","300h","Hybrid","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2025 Lexus ES"
"575","lexus-es-2024-250","2024","Lexus","ES","250","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","in_catalog","2024 Lexus ES"
"576","lexus-es-2024-350","2024","Lexus","ES","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2024 Lexus ES"
"577","lexus-es-2024-300h","2024","Lexus","ES","300h","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2024 Lexus ES"
"578","lexus-es-2024-300h-hybrid","2024","Lexus","ES","300h","Hybrid","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2024 Lexus ES"
"579","lexus-es-2023-250","2023","Lexus","ES","250","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2023 Lexus ES"
"580","lexus-es-2023-350","2023","Lexus","ES","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2023 Lexus ES"
"581","lexus-es-2023-300h","2023","Lexus","ES","300h","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2023 Lexus ES"
"582","lexus-es-2023-300h-hybrid","2023","Lexus","ES","300h","Hybrid","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2023 Lexus ES"
"583","lexus-es-2022-250","2022","Lexus","ES","250","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2022 Lexus ES"
"584","lexus-es-2022-350","2022","Lexus","ES","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2022 Lexus ES"
"585","lexus-es-2022-300h","2022","Lexus","ES","300h","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2022 Lexus ES"
"586","lexus-es-2022-300h-hybrid","2022","Lexus","ES","300h","Hybrid","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2022 Lexus ES"
"587","lexus-es-2021-250","2021","Lexus","ES","250","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2021 Lexus ES"
"588","lexus-es-2021-350","2021","Lexus","ES","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2021 Lexus ES"
"589","lexus-es-2021-300h","2021","Lexus","ES","300h","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2021 Lexus ES"
"590","lexus-es-2021-300h-hybrid","2021","Lexus","ES","300h","Hybrid","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2021 Lexus ES"
"591","lexus-es-2020-250","2020","Lexus","ES","250","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2020 Lexus ES"
"592","lexus-es-2020-350","2020","Lexus","ES","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2020 Lexus ES"
"593","lexus-es-2020-300h","2020","Lexus","ES","300h","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2020 Lexus ES"
"594","lexus-es-2020-300h-hybrid","2020","Lexus","ES","300h","Hybrid","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2020 Lexus ES"
"595","lexus-es-2019-250","2019","Lexus","ES","250","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2019 Lexus ES"
"596","lexus-es-2019-350","2019","Lexus","ES","350","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2019 Lexus ES"
"597","lexus-es-2019-300h","2019","Lexus","ES","300h","","lexus","fixed_interval","luxury_sedan","luxury","shared_xv70_generation","","target","2019 Lexus ES"
